mask_type,split_num,method,method_name,variable,location,rmse,mae,r2,missing_count
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,wind_v_ms,Gigantes Polygon,3.081261652765249,2.124890283770308,0.11138123625276586,56
block_14day,0,hybrid_sequential,Hybrid: Sequential Temporal->Spatial,wind_v_ms,Roxas Polygon,1.167811660910752,0.8482072204433031,0.3821286820458494,56
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,CHL,Gigantes Polygon,0.2210477253323601,0.16556535525847613,0.13570023783857643,56
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,CHL,Roxas Polygon,,,,0
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,mlotst,Gigantes Polygon,3.090511007653427,2.391987057116635,-0.0374820249977843,56
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,mlotst,Roxas Polygon,,,,0
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,no3,Gigantes Polygon,0.007055196298227414,0.005957256531091629,-0.18113745775807666,56
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,no3,Roxas Polygon,,,,0
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,o2,Gigantes Polygon,0.7238268209644316,0.5895394609279562,0.7487980905890503,56
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,o2,Roxas Polygon,,,,0
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,po4,Gigantes Polygon,0.0033662907203555353,0.0016912803297695924,0.9803889918786031,56
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,po4,Roxas Polygon,,,,0
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,so,Gigantes Polygon,6.934058169896003,3.1305314719699657,-143.9145337480952,56
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,so,Roxas Polygon,,,,0
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,thetao,Gigantes Polygon,0.1372116925690238,0.10974283225698445,0.8550269811722631,56
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,thetao,Roxas Polygon,,,,0
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,uo,Gigantes Polygon,0.021447159435240167,0.017374293641867388,0.962458968116859,56
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,uo,Roxas Polygon,,,,0
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,vo,Gigantes Polygon,0.04813274717868493,0.038179203035205334,0.3832811622672905,56
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,vo,Roxas Polygon,,,,0
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,NDVI_daily,Gigantes Polygon,0.14756179415826076,0.08376334442481866,0.40615037799395914,56
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,NDVI_daily,Roxas Polygon,,,,0
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,NDVI_raw,Gigantes Polygon,0.08134832127511525,0.06567401210362815,-1.9929647296456046,56
block_14day,0,hybrid_ensemble,Hybrid: Temporal-Spatial Ensemble,NDVI_raw,Roxas Polygon,,,,0
